100.7937 	DATA 	Keypress: up
100.8035 	EXP 	fixation: autoDraw = False
100.8035 	EXP 	grating: autoDraw = False
100.8035 	EXP 	grating: ori = 3.0
100.8035 	EXP 	fixation: autoDraw = True
101.7897 	EXP 	grating: autoDraw = True
101.8063 	EXP 	fixation: autoDraw = False
102.0906 	EXP 	grating: autoDraw = False
102.5148 	EXP 	New trial (rep=44, index=0): None
102.5177 	DATA 	Keypress: down
102.5251 	EXP 	fixation: autoDraw = False
102.5251 	EXP 	grating: autoDraw = False
102.5251 	EXP 	grating: ori = 0.0
102.5251 	EXP 	fixation: autoDraw = True
103.5274 	EXP 	fixation: autoDraw = False
103.5274 	EXP 	grating: autoDraw = True
103.8281 	EXP 	grating: autoDraw = False
104.4997 	EXP 	New trial (rep=45, index=0): None
104.5024 	DATA 	Keypress: down
104.5136 	EXP 	fixation: autoDraw = False
104.5136 	EXP 	grating: autoDraw = False
104.5136 	EXP 	grating: ori = 0.0
104.5136 	EXP 	fixation: autoDraw = True
105.5000 	EXP 	grating: autoDraw = True
105.5163 	EXP 	fixation: autoDraw = False
105.8003 	EXP 	grating: autoDraw = False
106.3729 	EXP 	New trial (rep=46, index=0): None
106.3756 	DATA 	Keypress: down
106.3848 	EXP 	fixation: autoDraw = False
106.3848 	EXP 	grating: autoDraw = False
106.3848 	EXP 	grating: ori = 4.0
106.3848 	EXP 	fixation: autoDraw = True
107.3713 	EXP 	grating: autoDraw = True
107.3881 	EXP 	fixation: autoDraw = False
107.6722 	EXP 	grating: autoDraw = False
108.2463 	EXP 	New trial (rep=47, index=0): None
108.2491 	DATA 	Keypress: down
108.2567 	EXP 	fixation: autoDraw = False
108.2567 	EXP 	grating: autoDraw = False
108.2567 	EXP 	grating: ori = -2.0
108.2567 	EXP 	fixation: autoDraw = True
109.2593 	EXP 	fixation: autoDraw = False
109.2593 	EXP 	grating: autoDraw = True
109.5607 	EXP 	grating: autoDraw = False
110.1488 	EXP 	New trial (rep=48, index=0): None
110.1521 	DATA 	Keypress: down
110.1616 	EXP 	fixation: autoDraw = False
110.1616 	EXP 	grating: autoDraw = False
110.1616 	EXP 	grating: ori = 0.0
110.1616 	EXP 	fixation: autoDraw = True
111.1481 	EXP 	grating: autoDraw = True
111.1649 	EXP 	fixation: autoDraw = False
111.4486 	EXP 	grating: autoDraw = False
111.9558 	EXP 	New trial (rep=49, index=0): None
111.9586 	DATA 	Keypress: up
111.9663 	EXP 	fixation: autoDraw = False
111.9663 	EXP 	grating: autoDraw = False
111.9663 	EXP 	grating: ori = 0.0
111.9663 	EXP 	fixation: autoDraw = True
112.9698 	EXP 	fixation: autoDraw = False
112.9698 	EXP 	grating: autoDraw = True
113.2701 	EXP 	grating: autoDraw = False
113.8589 	EXP 	New trial (rep=50, index=0): None
113.8615 	DATA 	Keypress: up
113.8717 	EXP 	fixation: autoDraw = False
113.8717 	EXP 	grating: autoDraw = False
113.8717 	EXP 	grating: ori = 3.0
113.8717 	EXP 	fixation: autoDraw = True
114.8577 	EXP 	grating: autoDraw = True
114.8746 	EXP 	fixation: autoDraw = False
115.1589 	EXP 	grating: autoDraw = False
115.6794 	EXP 	New trial (rep=51, index=0): None
115.6821 	DATA 	Keypress: down
115.6931 	EXP 	fixation: autoDraw = False
115.6931 	EXP 	grating: autoDraw = False
115.6931 	EXP 	grating: ori = 4.0
115.6931 	EXP 	fixation: autoDraw = True
116.6795 	EXP 	grating: autoDraw = True
116.6962 	EXP 	fixation: autoDraw = False
116.9803 	EXP 	grating: autoDraw = False
117.2880 	EXP 	New trial (rep=52, index=0): None
117.2911 	DATA 	Keypress: down
117.2977 	EXP 	fixation: autoDraw = False
117.2977 	EXP 	grating: autoDraw = False
117.2977 	EXP 	grating: ori = -4.0
117.2977 	EXP 	fixation: autoDraw = True
118.3000 	EXP 	fixation: autoDraw = False
118.3000 	EXP 	grating: autoDraw = True
118.6014 	EXP 	grating: autoDraw = False
119.1766 	EXP 	New trial (rep=53, index=0): None
119.1798 	DATA 	Keypress: down
119.1858 	EXP 	fixation: autoDraw = False
